variant,tau,env,T,split,cap,base_seed,n_replicates,fingerprint,k,tau_off,uses_log_e,heldout_T,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,n_decisions,n_search_decided,n_committed_steps,n_guard_vetoes,n_cap_demoted,n_nonfinite_rows,seconds
clock_k16,0.3,beta_skewed,1000,val,64,5073000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.19246283030509947,0.005192188665279675,0.6789750368595123,0.18712676852941512,0.005336061775684357,0.8714378671646118,64.0,0.062124248496993974,1.0,936.0,0.19246283030509947,0.19246283030509947,0.19250578129291535,0.19250578129291535,0.19250578129291535,31500,31500,467500,0,468000,0,1.0262956670485437
clock_k16,0.4,beta_skewed,1000,val,64,5073000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.19246283030509947,0.005192188665279675,0.6789750368595123,0.18712676852941512,0.005336061775684357,0.8714378671646118,64.0,0.062124248496993974,1.0,936.0,0.19246283030509947,0.19246283030509947,0.19250578129291535,0.19250578129291535,0.19250578129291535,31500,31500,467500,0,468000,0,0.9068680839845911
clock_k16,0.5,beta_skewed,1000,val,64,5073000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.19246283030509947,0.005192188665279675,0.6789750368595123,0.18712676852941512,0.005336061775684357,0.8714378671646118,64.0,0.062124248496993974,1.0,866.0,0.19246283030509947,0.19246283030509947,0.19250578129291535,0.19250578129291535,0.19250578129291535,31500,29000,467500,0,433000,0,0.9231088330270723
clock_k16,0.6,beta_skewed,1000,val,64,5073000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.19246283030509947,0.005192188665279675,0.6789750368595123,0.18712676852941512,0.005336061775684357,0.8714378671646118,64.0,0.062124248496993974,1.0,354.0,0.19246283030509947,0.19246283030509947,0.19250578129291535,0.19250578129291535,0.19250578129291535,31500,13000,467500,0,177000,0,0.9851082499371842
clock_k16,0.7,beta_skewed,1000,val,64,5073000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.25938680964708327,0.006010397981068761,0.6120510575175285,0.2546666328907013,0.004720176756381989,0.8714378671646118,34.0,0.032064128256513016,0.0,0.0,0.25938680964708327,0.25938680964708327,0.25912578535079955,0.2593623924255371,0.2593623924255371,31500,1000,467500,0,0,0,0.9017733330838382
clock_k16,0.3,beta_good_common,1000,val,64,5013000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.030013415813446045,0.0010785926439374881,0.9629621514081955,0.022995798349380495,0.007017617464065552,0.9929755672216415,64.0,0.062124248496993974,1.0,936.0,0.030013415813446045,0.030109783411026003,0.029950037479400636,0.029950037479400636,0.029950037479400636,31500,31500,467500,0,468000,0,0.9897259999997914
clock_k16,0.4,beta_good_common,1000,val,64,5013000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.030013415813446045,0.0010785926439374881,0.9629621514081955,0.022995798349380495,0.007017617464065552,0.9929755672216415,64.0,0.062124248496993974,1.0,936.0,0.030013415813446045,0.030109783411026003,0.029950037479400636,0.029950037479400636,0.029950037479400636,31500,31500,467500,0,468000,0,0.9740224580746144
clock_k16,0.5,beta_good_common,1000,val,64,5013000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.030013415813446045,0.0010785926439374881,0.9629621514081955,0.022995798349380495,0.007017617464065552,0.9929755672216415,64.0,0.062124248496993974,1.0,866.0,0.030013415813446045,0.030109783411026003,0.029950037479400636,0.029950037479400636,0.029950037479400636,31500,29000,467500,0,433000,0,0.954600292025134
clock_k16,0.6,beta_good_common,1000,val,64,5013000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.030013415813446045,0.0010785926439374881,0.9629621514081955,0.022995798349380495,0.007017617464065552,0.9929755672216415,64.0,0.062124248496993974,1.0,354.0,0.030013415813446045,0.030109783411026003,0.029950037479400636,0.029950037479400636,0.029950037479400636,31500,13000,467500,0,177000,0,0.9903258749982342
clock_k16,0.7,beta_good_common,1000,val,64,5013000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.03782213521003723,0.001226386498114898,0.9551534320116043,0.03381325364112854,0.004008881568908692,0.9929755672216415,34.0,0.032064128256513016,0.0,0.0,0.03782213521003723,0.037826070070266726,0.03782213521003723,0.03787994396686554,0.03782213521003723,31500,1000,467500,0,0,0,0.8755795420147479
all71_k16,0.3,tail_b1.0_mu0.9_c2.0,1000,val,64,5283000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.021574854612350463,0.0009385091596445826,0.8779049407243729,0.007079625725746155,0.01449522888660431,0.8994797953367233,64.0,0.062124248496993974,1.0,857.492,0.021574854612350463,0.021590752243995665,0.021614057421684266,0.021739256620407106,0.021574854612350463,31500,28761,467500,0,428746,0,1.3629109170287848
all71_k16,0.4,tail_b1.0_mu0.9_c2.0,1000,val,64,5283000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.021574854612350463,0.0009385091596445826,0.8779049407243729,0.007079625725746155,0.01449522888660431,0.8994797953367233,64.0,0.062124248496993974,1.0,644.112,0.021574854612350463,0.021590752243995665,0.021614057421684266,0.021739256620407106,0.021574854612350463,31500,22066,467500,0,322056,0,1.324453999986872
all71_k16,0.5,tail_b1.0_mu0.9_c2.0,1000,val,64,5283000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.021574854612350463,0.0009385091596445826,0.8779049407243729,0.007079625725746155,0.01449522888660431,0.8994797953367233,64.0,0.062124248496993974,1.0,410.096,0.021574854612350463,0.021590752243995665,0.021614057421684266,0.021739256620407106,0.021574854612350463,31500,14753,467500,0,205048,0,1.2507610840257257
all71_k16,0.6,tail_b1.0_mu0.9_c2.0,1000,val,64,5283000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.02154237413406372,0.0009388815417762984,0.8779374212026596,0.007104565262794495,0.014437808871269227,0.8994797953367233,63.636,0.061759519038076145,0.974,88.636,0.02154237413406372,0.021558271765708924,0.02158157694339752,0.02170677614212036,0.02154237413406372,31500,4696,467500,0,44318,0,1.2879747910192236
all71_k16,0.7,tail_b1.0_mu0.9_c2.0,1000,val,64,5283000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.021782523155212404,0.0009210432627229559,0.877697272181511,0.010313470721244812,0.01146905243396759,0.8994797953367233,40.396,0.038472945891783565,0.066,0.484,0.021782523155212404,0.021865784525871276,0.021782523155212404,0.02217139208316803,0.021782523155212404,31500,1215,467500,0,242,0,1.242509042029269
all71_k16,0.3,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,896.112,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,30141,467500,0,448056,0,1.5463867910439149
all71_k16,0.4,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.0017309623956680298,0.00010160359229478582,0.9982673105001449,0.00045669329166412356,0.0012742691040039061,0.999998272895813,64.0,0.062124248496993974,1.0,726.62,0.0017309623956680298,0.0017309623956680298,0.0017309623956680298,0.01510189764201641,0.0017309623956680298,31500,24695,467500,0,363310,0,1.344563249964267
all71_k16,0.5,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.0017239110469818115,0.00010168896189229717,0.9982743618488312,0.00045669329166412356,0.001267217755317688,0.999998272895813,64.0,0.062124248496993974,1.0,468.592,0.0017239110469818115,0.0017239110469818115,0.0017239110469818115,0.015866385743021964,0.0017239110469818115,31500,16581,467500,0,234296,0,1.2804345829645172
all71_k16,0.6,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.0017428396940231323,0.00010697113985321927,0.9982554332017899,0.00046910083293914796,0.0012737388610839845,0.999998272895813,62.368,0.060488977955911814,0.904,97.584,0.0017428396940231323,0.0017428396940231323,0.0017428396940231323,0.01666618226468563,0.0017428396940231323,31500,4936,467500,0,48792,0,1.2657755409600213
all71_k16,0.7,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.0036097638607025147,0.00029210714915157336,0.9963885090351104,0.0024452974796295166,0.001164466381072998,0.999998272895813,30.252,0.028308617234468935,0.002,0.004,0.0036097638607025147,0.0036097638607025147,0.0036097638607025147,0.007108883082866669,0.0036097638607025147,31500,883,467500,0,2,0,1.325720207998529
all71_k16,0.3,beta_mostly_mediocre,1000,val,64,5043000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,936.0,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,31500,467500,0,468000,0,1.4890362500445917
all71_k16,0.4,beta_mostly_mediocre,1000,val,64,5043000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,889.876,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,29843,467500,0,444938,0,1.4011332499794662
all71_k16,0.5,beta_mostly_mediocre,1000,val,64,5043000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,670.312,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,22886,467500,0,335156,0,1.3465855410322547
all71_k16,0.6,beta_mostly_mediocre,1000,val,64,5043000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,381.968,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,13874,467500,0,190984,0,1.3392314589582384
all71_k16,0.7,beta_mostly_mediocre,1000,val,64,5043000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.10381158590316772,0.002961667679305377,0.7437429534196853,0.07873450744152069,0.025077078461647032,0.8475545393228531,62.708,0.06082965931863727,0.91,67.772,0.10381158590316772,0.10381158590316772,0.10400082850456238,0.10421821939945221,0.10381158590316772,31500,4015,467500,0,33886,0,1.4126486669993028
all71_k16,0.3,beta_good_common,1000,val,64,5013000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.030013415813446045,0.0010785926439374881,0.9629621514081955,0.022995798349380495,0.007017617464065552,0.9929755672216415,64.0,0.062124248496993974,1.0,807.872,0.030013415813446045,0.030109783411026003,0.029950037479400636,0.029950037479400636,0.029950037479400636,31500,27196,467500,0,403936,0,1.3818661670666188
all71_k16,0.4,beta_good_common,1000,val,64,5013000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.030013415813446045,0.0010785926439374881,0.9629621514081955,0.022995798349380495,0.007017617464065552,0.9929755672216415,64.0,0.062124248496993974,1.0,548.944,0.030013415813446045,0.030109783411026003,0.029950037479400636,0.029950037479400636,0.029950037479400636,31500,19092,467500,0,274472,0,1.3871057499200106
all71_k16,0.5,beta_good_common,1000,val,64,5013000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.030013415813446045,0.0010785926439374881,0.9629621514081955,0.022995798349380495,0.007017617464065552,0.9929755672216415,64.0,0.062124248496993974,1.0,266.16,0.030013415813446045,0.030109783411026003,0.029950037479400636,0.029950037479400636,0.029950037479400636,31500,10255,467500,0,133080,0,1.3133236250141636
all71_k16,0.6,beta_good_common,1000,val,64,5013000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.03078253126144409,0.0010955239702759067,0.9621930359601975,0.023898783802986146,0.006883747458457947,0.9929755672216415,60.496,0.05861322645290581,0.784,18.272,0.03078253126144409,0.030878898859024048,0.03078253126144409,0.03078253126144409,0.03078253126144409,31500,2399,467500,0,9136,0,1.4595451659988612
all71_k16,0.7,beta_good_common,1000,val,64,5013000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.03980786061286926,0.0012724427862288279,0.9531677066087723,0.03582887971401215,0.003978980898857116,0.9929755672216415,31.056,0.02911422845691382,0.0,0.0,0.03980786061286926,0.03981179547309875,0.03980786061286926,0.03979738926887512,0.03980786061286926,31500,908,467500,0,0,0,1.4063804580364376
clock_k16,0.3,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,936.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,31500,467500,0,468000,0,0.8526935409754515
clock_k16,0.4,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,936.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,31500,467500,0,468000,0,0.8576227909652516
clock_k16,0.5,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,866.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,29000,467500,0,433000,0,0.842084874981083
clock_k16,0.6,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,354.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,13000,467500,0,177000,0,0.8722656250465661
clock_k16,0.7,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.002976135969161987,0.00022816427394274966,0.997022136926651,0.001686903715133667,0.0012892322540283203,0.999998272895813,34.0,0.032064128256513016,0.0,0.0,0.002976135969161987,0.002976135969161987,0.002976135969161987,0.0077765358090400695,0.002976135969161987,31500,1000,467500,0,0,0,0.9151827089954168
all71_k16,0.3,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,936.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31500,467500,0,468000,0,2.3216026660520583
all71_k16,0.4,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,926.012,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31121,467500,0,463006,0,1.83388599997852
all71_k16,0.5,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,806.44,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,27215,467500,0,403220,0,1.786514750099741
all71_k16,0.6,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,574.464,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,19917,467500,0,287232,0,1.818574249977246
all71_k16,0.7,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.0907477456331253,0.0029164114725580468,0.881955564379692,0.08596714961528779,0.004780596017837525,0.9727033100128174,63.776,0.06189979959919839,0.984,229.332,0.0907477456331253,0.0907477456331253,0.0907477456331253,0.0907477456331253,0.0907477456331253,31500,9099,467500,0,114666,0,1.863032208988443
clock_k16,0.3,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,936.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31500,467500,0,468000,0,0.8891997499158606
clock_k16,0.4,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,936.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31500,467500,0,468000,0,0.8825015829643235
clock_k16,0.5,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,866.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,29000,467500,0,433000,0,0.8751570419408381
clock_k16,0.6,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,354.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,13000,467500,0,177000,0,0.8988486669259146
clock_k16,0.7,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.12847235560417175,0.0036995487134494007,0.8442309544086456,0.12509793484210968,0.0033744207620620727,0.9727033100128174,34.0,0.032064128256513016,0.0,0.0,0.12847235560417175,0.12847235560417175,0.12847235560417175,0.12847235560417175,0.12847235560417175,31500,1000,467500,0,0,0,0.8518100410001352
clock_k16,0.3,tail_b8.0_mu1.0_c1.0,1000,val,64,5478000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.1780911737680435,0.004654461750013894,0.4231123580932617,0.16356286758184432,0.014528306186199188,0.6012035318613053,64.0,0.062124248496993974,1.0,936.0,0.1780911737680435,0.1780911737680435,0.1782634119987488,0.1782634119987488,0.1780911737680435,31500,31500,467500,0,468000,0,0.8750494589330629
clock_k16,0.4,tail_b8.0_mu1.0_c1.0,1000,val,64,5478000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.1780911737680435,0.004654461750013894,0.4231123580932617,0.16356286758184432,0.014528306186199188,0.6012035318613053,64.0,0.062124248496993974,1.0,936.0,0.1780911737680435,0.1780911737680435,0.1782634119987488,0.1782634119987488,0.1780911737680435,31500,31500,467500,0,468000,0,0.8487570410361513
clock_k16,0.5,tail_b8.0_mu1.0_c1.0,1000,val,64,5478000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.1780911737680435,0.004654461750013894,0.4231123580932617,0.16356286758184432,0.014528306186199188,0.6012035318613053,64.0,0.062124248496993974,1.0,866.0,0.1780911737680435,0.1780911737680435,0.1782634119987488,0.1782634119987488,0.1780911737680435,31500,29000,467500,0,433000,0,0.8633945840410888
clock_k16,0.6,tail_b8.0_mu1.0_c1.0,1000,val,64,5478000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.1780911737680435,0.004654461750013894,0.4231123580932617,0.16356286758184432,0.014528306186199188,0.6012035318613053,64.0,0.062124248496993974,1.0,354.0,0.1780911737680435,0.1780911737680435,0.1782634119987488,0.1782634119987488,0.1780911737680435,31500,13000,467500,0,177000,0,0.9212169169913977
clock_k16,0.7,tail_b8.0_mu1.0_c1.0,1000,val,64,5478000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.218521865516901,0.004751665138130751,0.3826816663444042,0.21070611396431924,0.007815751552581787,0.6012035318613053,34.0,0.032064128256513016,0.0,0.0,0.218521865516901,0.218521865516901,0.218521865516901,0.218521865516901,0.218521865516901,31500,1000,467500,0,0,0,0.8016803750069812
clock_k16,0.3,tail_b1.0_mu0.9_c2.0,1000,val,64,5283000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.021574854612350463,0.0009385091596445826,0.8779049407243729,0.007079625725746155,0.01449522888660431,0.8994797953367233,64.0,0.062124248496993974,1.0,936.0,0.021574854612350463,0.021590752243995665,0.021614057421684266,0.021739256620407106,0.021574854612350463,31500,31500,467500,0,468000,0,0.8936424580169842
clock_k16,0.4,tail_b1.0_mu0.9_c2.0,1000,val,64,5283000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.021574854612350463,0.0009385091596445826,0.8779049407243729,0.007079625725746155,0.01449522888660431,0.8994797953367233,64.0,0.062124248496993974,1.0,936.0,0.021574854612350463,0.021590752243995665,0.021614057421684266,0.021739256620407106,0.021574854612350463,31500,31500,467500,0,468000,0,0.8463344589108601
